,Title,Album,Track Number,Play Count,Duration in Seconds,Peak Chart Position,Weeks on Chart,Single,Music Video,Set List
0,Tim McGraw,Taylor Swift,1,85909025,232.106,40,20,1,1,0
1,Picture To Burn,Taylor Swift,2,114595018,173.066,28,20,1,1,0
2,Teardrops On My Guitar,Taylor Swift,3,156881355,203.04,13,48,1,1,0
3,A Place in this World,Taylor Swift,4,24588352,199.2,0,0,0,0,0
4,Cold As You,Taylor Swift,5,25614371,239.013,0,0,0,0,0
5,The Outside,Taylor Swift,6,17056882,207.106,0,0,0,0,0
6,Tied Together with a Smile,Taylor Swift,7,19920901,248.106,0,0,0,0,0
7,Stay Beautiful,Taylor Swift,8,22121720,236.053,0,0,0,0,0
8,Should've Said No,Taylor Swift,9,76181006,242.2,33,20,1,1,0
9,Mary's Song,Taylor Swift,10,27452511,213.08,0,0,0,0,0
10,Our Song,Taylor Swift,11,196791434,201.106,16,36,1,1,0
11,I'm Only Me When I'm With You,Taylor Swift,12,31621989,213.053,0,0,0,1,0
12,Invisible,Taylor Swift,13,22071448,203.226,0,0,0,0,1
13,A Perfectly Good Heart,Taylor Swift,14,15048906,220.146,0,0,0,0,0
14,Teardrops on My Guitar,Taylor Swift,15,21613123,179.066,0,0,1,1,0
15,Last Christmas,The Taylor Swift Holiday Collection,1,20879080,208.253,0,0,0,0,0
16,Christmases When You Were Mine,The Taylor Swift Holiday Collection,2,4461112,184.253,0,0,0,0,0
17,Santa Baby,The Taylor Swift Holiday Collection,3,7027991,158.6,0,0,0,0,0
18,Silent Night,The Taylor Swift Holiday Collection,4,3406667,209.893,0,0,0,0,0
19,Christmas Must Be Something More,The Taylor Swift Holiday Collection,5,4283291,232.146,0,0,0,0,0
20,White Christmas,The Taylor Swift Holiday Collection,6,3877713,154.0,0,0,0,0,0
21,Fearless,Fearless,1,173649243,241.7885,9,16,1,1,1
22,Fifteen,Fearless,2,150788491,294.376,23,22,1,1,0
23,Love Story,Fearless,3,1002409964,235.516,4,51,1,1,1
24,Hey Stephen,Fearless,4,92610872,254.28,94,1,0,0,0
25,White Horse,Fearless,5,148282781,234.4705,13,22,1,1,0
26,You Belong With Me,Fearless,6,722007416,231.1285,2,51,1,1,1
